Address,Price,Price/SF,Land/acres,Land/SF,URL
19560 S Rancho Way - Distribution FOR SALE,"$9,741,375",$225/SF,1.84,"80,150",https://www.showcase.com/19560-s-rancho-way-rancho-dominguez-ca-90220/21635641/
15915 S San Pedro St - Manufacturing FOR SALE,"$1,800,000",$295/SF,0.4,"17,415",https://www.showcase.com/15915-s-san-pedro-st-gardena-ca-90248/21412883/
18020 S Broadway - Warehouse FOR SALE,"$2,990,000",$108/SF,1.07,"46,609",https://www.showcase.com/18020-s-broadway-gardena-ca-90248/21344662/
17036 Avalon Blvd - Manufacturing FOR SALE,"$19,000,000",$316/SF,2.79,"121,532",https://www.showcase.com/17036-avalon-blvd-carson-ca-90746/21331777/
1213 256th St - Service FOR SALE,"$615,000",$572/SF,0.16,"6,970",https://www.showcase.com/1213-256th-st-harbor-city-ca-90710/21291940/
138-140 E 162nd St - Manufacturing FOR SALE,"$3,900,000",$258/SF,0.56,"24,394",https://www.showcase.com/138-140-e-162nd-st-gardena-ca-90248/21188728/
703 E Gardena Blvd - Warehouse CONDO FOR SALE,"$1,499,999",$246/SF,2.02 AC,"87,991 SF",https://www.showcase.com/703-e-gardena-blvd-carson-ca-90746/21144859/
17125 S Figueroa St - Warehouse FOR SALE,"$4,000,000",$255/SF,0.96,"41,687",https://www.showcase.com/17125-s-figueroa-st-gardena-ca-90248/20984622/
15916 S Figueroa St - Warehouse FOR SALE,"$5,950,000",$236/SF,0.93,"40,511",https://www.showcase.com/15916-s-figueroa-st-gardena-ca-90248/20781202/
2020-2022 W 15th St - Warehouse FOR SALE,"$3,000,000",$311/SF,0.24,"10,454",https://www.showcase.com/2020-2022-w-15th-st-long-beach-ca-90813/20735006/
15328 S San Pedro St - Service FOR SALE,"$565,000",$682/SF,0.11,"4,792",https://www.showcase.com/15328-s-san-pedro-st-gardena-ca-90248/20719987/
1471 Cota Ave - Service FOR SALE,"$2,200,000",$825/SF,0.07,"3,049",https://www.showcase.com/1471-cota-ave-long-beach-ca-90813/20399251/
115 E Gardena Blvd - Service FOR SALE,"$6,148,130",$230/SF,1,"43,560",https://www.showcase.com/115-e-gardena-blvd-carson-ca-90248/19621795/
2150 W 15th St - Warehouse FOR SALE,"$3,593,700",$300/SF,0.3,"13,068",https://www.showcase.com/2150-w-15th-st-long-beach-ca-90813/18840476/
1442 Hayes Ave - Manufacturing FOR SALE,"$2,000,000",$333/SF,0.3,"13,007",https://www.showcase.com/1442-hayes-ave-long-beach-ca-90813/18574275/
1661 Cota Ave - Service FOR SALE,"$888,420",$368/SF,0.15,"6,534",https://www.showcase.com/1661-cota-ave-long-beach-ca-90813/18490283/
25219 S Vermont Ave - Warehouse FOR SALE,"$2,900,000",$242/SF,0.49,"21,344",https://www.showcase.com/25219-s-vermont-ave-harbor-city-ca-90710/16977089/
1145 W Mahalo Pl - Warehouse FOR SALE,"$1,300,000",$240/SF,0.31,"13,560",https://www.showcase.com/1145-w-mahalo-pl-compton-ca-90220/16794029/
2319-2321 E Gladwick St - Distribution FOR SALE,Request Info for Price,-,6.35,"276,606",https://www.showcase.com/2319-2321-e-gladwick-st-rancho-dominguez-ca-90220/21743855/
1512 Kona Dr - Warehouse FOR SALE,Request Info for Price,-,0.61,"26,572",https://www.showcase.com/1512-kona-dr-compton-ca-90220/21712207/
1076 251st St - Warehouse FOR SALE,Request Info for Price,-,0.34,"14,810",https://www.showcase.com/1076-251st-st-harbor-city-ca-90710/20300695/
1086 251st St - Industrial FOR SALE,Request Info for Price,-,0.34,"14,810",https://www.showcase.com/1086-251st-st-harbor-city-ca-90710/20300661/
24201 Frampton Ave - Food Processing FOR SALE,Request Info for Price,-,1.12,"48,787",https://www.showcase.com/24201-frampton-ave-harbor-city-ca-90710/17451932/
