Address,Price,Price/SF,Land/acres,Land/SF,URL
10920 Hawthorne Blvd - Service FOR SALE,"$2,500,000",$238/SF,0.41,"17,860",https://www.showcase.com/10920-hawthorne-blvd-inglewood-ca-90304/20984496/
957 E 108th St - Warehouse FOR SALE,"$2,100,000",$142/SF,0.4,"17,424",https://www.showcase.com/957-e-108th-st-los-angeles-ca-90059/21776839/
13110 S Figueroa St - Manufacturing FOR SALE,"$2,600,000",$222/SF,0.5,"21,928",https://www.showcase.com/13110-s-figueroa-st-los-angeles-ca-90061/21581287/
15915 S San Pedro St - Manufacturing FOR SALE,"$1,800,000",$295/SF,0.4,"17,415",https://www.showcase.com/15915-s-san-pedro-st-gardena-ca-90248/21412883/
18020 S Broadway - Warehouse FOR SALE,"$2,990,000",$108/SF,1.07,"46,609",https://www.showcase.com/18020-s-broadway-gardena-ca-90248/21344662/
17036 Avalon Blvd - Manufacturing FOR SALE,"$19,000,000",$316/SF,2.79,"121,532",https://www.showcase.com/17036-avalon-blvd-carson-ca-90746/21331777/
138-140 E 162nd St - Manufacturing FOR SALE,"$3,900,000",$258/SF,0.56,"24,394",https://www.showcase.com/138-140-e-162nd-st-gardena-ca-90248/21188728/
703 E Gardena Blvd - Warehouse CONDO FOR SALE,"$1,499,999",$246/SF,2.02 AC,"87,991 SF",https://www.showcase.com/703-e-gardena-blvd-carson-ca-90746/21144859/
2215 W El Segundo Blvd - Warehouse FOR SALE,"$5,500,000",$242/SF,0.89,"38,768",https://www.showcase.com/2215-w-el-segundo-blvd-hawthorne-ca-90250/21110328/
17125 S Figueroa St - Warehouse FOR SALE,"$4,000,000",$255/SF,0.96,"41,687",https://www.showcase.com/17125-s-figueroa-st-gardena-ca-90248/20984622/
10116 S Main St - Freestanding FOR SALE,"$950,000",$216/SF,0.13 AC,"5,663 SF",https://www.showcase.com/10116-s-main-st-los-angeles-ca-90003/20851207/
15916 S Figueroa St - Warehouse FOR SALE,"$5,950,000",$236/SF,0.93,"40,511",https://www.showcase.com/15916-s-figueroa-st-gardena-ca-90248/20781202/
15328 S San Pedro St - Service FOR SALE,"$565,000",$682/SF,0.11,"4,792",https://www.showcase.com/15328-s-san-pedro-st-gardena-ca-90248/20719987/
13012 Athens Way - Warehouse FOR SALE,"$1,180,000",$265/SF,0.15,"6,534",https://www.showcase.com/13012-athens-way-los-angeles-ca-90061/20447734/
10716 Grevillea Ave - Manufacturing FOR SALE,"$1,099,000",$271/SF,0.2,"8,712",https://www.showcase.com/10716-grevillea-ave-inglewood-ca-90304/20446874/
505 E Rosecrans Ave - Warehouse FOR SALE,"$1,142,100",$228/SF,0.23,"10,019",https://www.showcase.com/505-e-rosecrans-ave-gardena-ca-90248/20444557/
13147-13151 S Western Ave - Warehouse FOR SALE,"$10,900,000",$216/SF,2.45,"106,722",https://www.showcase.com/13147-13151-s-western-ave-gardena-ca-90249/20109526/
12838 Weber Way - Manufacturing FOR SALE,"$2,900,000",$248/SF,0.52,"22,651",https://www.showcase.com/12838-weber-way-hawthorne-ca-90250/19714637/
2335 208th St - Manufacturing FOR SALE,"$11,409,840",$299/SF,1.59,"69,260",https://www.showcase.com/2335-208th-st-torrance-ca-90501/19629104/
115 E Gardena Blvd - Service FOR SALE,"$6,148,130",$230/SF,1,"43,560",https://www.showcase.com/115-e-gardena-blvd-carson-ca-90248/19621795/
4151 Marine Ave - Auto Repair FOR SALE,"$850,000",$540/SF,0.11 AC,"4,792 SF",https://www.showcase.com/4151-marine-ave-lawndale-ca-90260/19363813/
15624 Inglewood Ave - Showroom FOR SALE,"$2,100,000",$240/SF,0.4,"17,611",https://www.showcase.com/15624-inglewood-ave-lawndale-ca-90260/18898982/
1838 W 144th St - Warehouse FOR SALE,"$1,550,000",$234/SF,0.25,"10,890",https://www.showcase.com/1838-w-144th-st-gardena-ca-90249/18262872/
1600 W 166th St - Warehouse FOR SALE,"$1,999,000",$206/SF,0.35,"15,246",https://www.showcase.com/1600-w-166th-st-gardena-ca-90247/18151561/
15814 Hawthorne Blvd - Storefront Retail/Residential FOR SALE,"$1,600,000",$399/SF,0.15 AC,"6,534 SF",https://www.showcase.com/15814-hawthorne-blvd-lawndale-ca-90260/18078398/
17832 S Hobart Blvd - Warehouse FOR SALE,"$1,150,000",$311/SF,0.15,"6,534",https://www.showcase.com/17832-s-hobart-blvd-gardena-ca-90248/17752433/
1145 W Mahalo Pl - Warehouse FOR SALE,"$1,300,000",$240/SF,0.31,"13,560",https://www.showcase.com/1145-w-mahalo-pl-compton-ca-90220/16794029/
16911 S Normandie Ave - Warehouse FOR SALE,"$14,500,000",$169/SF,3.9,"169,884",https://www.showcase.com/16911-s-normandie-ave-gardena-ca-90247/16254309/
1512 Kona Dr - Warehouse FOR SALE,Request Info for Price,-,0.61,"26,572",https://www.showcase.com/1512-kona-dr-compton-ca-90220/21712207/
740 E 111th Pl - Warehouse FOR SALE,Request Info for Price,-,5.52,"240,586",https://www.showcase.com/740-e-111th-pl-los-angeles-ca-90059/15507010/
