Address,Price,Price/SF,Land/acres,Land/SF,URL
927 Flint Ave - Industrial FOR SALE,"$534,900",$71/SF,0.2,"8,917",https://www.showcase.com/927-flint-ave-wilmington-ca-90744/21796446/
200 N Broad Ave - Warehouse FOR SALE,"$1,950,000",$229/SF,0.18,"7,841",https://www.showcase.com/200-n-broad-ave-wilmington-ca-90744/21625983/
1213 256th St - Service FOR SALE,"$615,000",$572/SF,0.16,"6,970",https://www.showcase.com/1213-256th-st-harbor-city-ca-90710/21291940/
1485 Caspian Ave - Warehouse FOR SALE,"$799,000",$345/SF,0.11,"4,975",https://www.showcase.com/1485-caspian-ave-long-beach-ca-90813/20878398/
2020-2022 W 15th St - Warehouse FOR SALE,"$3,000,000",$311/SF,0.24,"10,454",https://www.showcase.com/2020-2022-w-15th-st-long-beach-ca-90813/20735006/
1341 W 15th St - Warehouse FOR SALE,"$1,490,000","$1,364/SF",0.11,"4,905",https://www.showcase.com/1341-w-15th-st-long-beach-ca-90813/20459346/
1471 Cota Ave - Service FOR SALE,"$2,200,000",$825/SF,0.07,"3,049",https://www.showcase.com/1471-cota-ave-long-beach-ca-90813/20399251/
1425 Santa Fe Ave - Warehouse FOR SALE,"$875,000",$326/SF,0.1,"4,356",https://www.showcase.com/1425-santa-fe-ave-long-beach-ca-90813/19534253/
2150 W 15th St - Warehouse FOR SALE,"$3,593,700",$300/SF,0.3,"13,068",https://www.showcase.com/2150-w-15th-st-long-beach-ca-90813/18840476/
1442 Hayes Ave - Manufacturing FOR SALE,"$2,000,000",$333/SF,0.3,"13,007",https://www.showcase.com/1442-hayes-ave-long-beach-ca-90813/18574275/
1661 Cota Ave - Service FOR SALE,"$888,420",$368/SF,0.15,"6,534",https://www.showcase.com/1661-cota-ave-long-beach-ca-90813/18490283/
1444 W Gaylord St - Warehouse FOR SALE,"$599,000",$256/SF,0.12,"5,227",https://www.showcase.com/1444-w-gaylord-st-long-beach-ca-90813/17656594/
1530 W Cowles St - Service FOR SALE,"$1,999,999",$260/SF,0.23,"10,019",https://www.showcase.com/1530-w-cowles-st-long-beach-ca-90813/17656441/
222 W D St - Industrial FOR SALE,"$1,425,000",$285/SF,0.21,"9,148",https://www.showcase.com/222-w-d-st-wilmington-ca-90744/17514761/
25219 S Vermont Ave - Warehouse FOR SALE,"$2,900,000",$242/SF,0.49,"21,344",https://www.showcase.com/25219-s-vermont-ave-harbor-city-ca-90710/16977089/
516 E D St - Warehouse FOR SALE,"$817,000",$215/SF,0.11,"4,792",https://www.showcase.com/516-e-d-st-wilmington-ca-90744/11823065/
1801-1809 W Anaheim St - Warehouse FOR SALE,Request Info for Price,-,0.14,"6,098",https://www.showcase.com/1801-1809-w-anaheim-st-long-beach-ca-90813/21099220/
1076 251st St - Warehouse FOR SALE,Request Info for Price,-,0.34,"14,810",https://www.showcase.com/1076-251st-st-harbor-city-ca-90710/20300695/
1086 251st St - Industrial FOR SALE,Request Info for Price,-,0.34,"14,810",https://www.showcase.com/1086-251st-st-harbor-city-ca-90710/20300661/
24201 Frampton Ave - Food Processing FOR SALE,Request Info for Price,-,1.12,"48,787",https://www.showcase.com/24201-frampton-ave-harbor-city-ca-90710/17451932/
1425 W 15th St - Warehouse FOR SALE,Request Info for Price,-,0.11,"4,792",https://www.showcase.com/1425-w-15th-st-long-beach-ca-90813/16636261/
1468 W 17th St - Industrial FOR SALE,Request Info for Price,-,0.11,"4,792",https://www.showcase.com/1468-w-17th-st-long-beach-ca-90813/15431950/
